id,tag
5377,12
5113,10
2242,2
139,10
5081,7
4537,6
4332,7
5120,12
4661,2
4978,7
5159,8
837,7
4795,9
4686,11
4363,11
4985,7
2183,15
1133,12
146,13
4789,15
43,13
4951,12
4950,11
4563,13
4771,10
5020,12
474,13
4978,11
5077,7
43,7
4779,7
4589,11
4358,17
4772,7
3472,9
150,7
4358,13
1678,12
4356,7
140,7
5051,2
4510,11
4553,9
4675,1
109,7
5113,13
4510,9
3100,6
4806,12
2529,1
5375,7
4633,7
5037,10
4938,6
5154,1
817,13
832,8
4564,11
4939,6
1554,9
3749,2
4361,13
2099,12
776,10
2177,8
4976,11
4944,7
1810,12
3369,3
4646,7
832,7
4360,7
4816,12
4011,3
5042,7
4364,17
4359,7
5040,9
5053,7
2177,7
5154,11
1128,12
4945,7
4354,7
139,11
4509,9
2769,1
4661,7
2535,4
140,9
2287,1
4384,13
1128,7
4748,9
4773,11
803,8
4743,7
4921,7
2510,9
2119,10
5041,7
4651,2
4591,7
4509,7
4552,10
4824,7
4362,7
1113,7
1554,7
836,13
3100,13
5164,9
5019,11
5051,13
1747,13
834,9
1784,3
5120,7
2847,7
4941,7
4934,7
2118,9
5037,7
3472,7
42,12
139,7
840,8
4360,11
1795,12
4838,7
3029,6
4589,7
43,2
4360,3
4356,3
2674,11
1160,7
4671,11
4792,12
4680,13
1780,7
4785,7
2119,13
2261,10
5156,11
4678,11
4947,7
5057,7
3369,11
2143,6
2143,7
4352,5
4993,7
821,9
5040,10
4364,7
4799,1
4352,7
4971,7
4952,12
4591,9
4683,9
1606,12
5156,9
4818,7
31,12
4990,7
1118,1
4353,12
4669,14
1822,7
5061,7
5019,7
4748,2
4922,4
4346,7
5058,7
3924,9
5042,13
4677,12
4384,12
5319,13
2507,11
5154,12
5094,7
4973,7
2848,13
76,13
1758,12
4646,12
2118,7
5122,3
4651,9
2507,9
146,7
2851,9
5162,11
4765,7
3240,7
5037,12
824,13
5159,7
4563,7
4686,7
4974,7
4510,7
817,7
5377,7
2674,7
2314,9
5162,9
2685,11
837,13
2242,12
4661,11
4546,9
3832,13
4511,7
2849,12
4563,11
1674,11
4546,7
2535,9
4697,9
1674,9
5319,7
4963,7
4680,7
3029,14
4687,9
821,13
4837,7
4748,10
5160,7
4766,11
1086,10
4013,15
4011,7
5054,7
5343,1
4564,7
1810,10
4748,8
1097,11
2177,3
4668,12
474,11
5151,8
4591,11
5142,13
1736,11
1112,1
474,10
4011,13
4701,1
933,12
4940,9
2183,13
2849,7
2769,11
4780,7
